Bolívar,Córdoba
Guainía,San Felipe
Guainía,Inírida
Córdoba,Ayapel
Huila,Pitalito
"Bogotá, D.C.","Bogotá, D.C."
Tolima,Ataco
Caquetá,San Vicente del Caguán
Antioquia,Remedios
Sucre,Corozal
Casanare,Paz de Ariporo
Casanare,Aguazul
Caquetá,Solano
Cesar,Curumaní
Antioquia,Arboletes
Casanare,Nunchía
Casanare,San Luis de Palenque
Chocó,Condoto
Valle del Cauca,San Pedro
Tolima,Alpujarra
Antioquia,Chigorodó
Antioquia,Carepa
Meta,Cumaral
Santander,Zapatoca
Vichada,La Primavera
Magdalena,Plato
Casanare,Sabanalarga
Tolima,Chaparral
Santander,Puerto Wilches
Cauca,Guapí
Cundinamarca,Beltrán
Nariño,Aldana
Meta,Castilla la Nueva
San Andrés islas,Providencia
Chocó,Bajo Baudó
Tolima,Ibagué
Cesar,Becerril
Valle del Cauca,Bugalagrande
Bolívar,Mompós
Meta,Barranca de Upía
Córdoba,Montelíbano
Chocó,Quibdó
Casanare,Orocué
Valle del Cauca,Guacarí
Tolima,Flandes
Valle del Cauca,El Cerrito
Valle del Cauca,Palmira
Magdalena,Santa Marta
Antioquia,Urrao
La Guajira,Riohacha
Tolima,Piedras
Tolima,San Sebastián de Mariquita
Chocó,Acandí
Tolima,Espinal
Cauca,Popayán
Santander,Piedecuesta
Casanare,Támara
Santander,Sabana de Torres
Norte de Santander,San José de Cúcuta
Magdalena,El Banco
Boyacá,Puerto Boyacá
Bolívar,Cartagena de Indias
Casanare,Tauramena
Norte de Santander,La Esperanza
Córdoba,Montería
Casanare,Hato Corozal
Nariño,Pasto
Casanare,Yopal
Boyacá,Paipa
Vaupés,Mitú
Arauca,Arauca
San Andrés islas,San Andrés
Putumayo,Puerto Asís
Bolívar,Magangué
Sucre,Tolú Viejo
Córdoba,Ciénaga de Oro
Bolívar,Santa Catalina
Meta,Cabuyaro
Meta,San Martín
Chocó,Nuquí
Cesar,Pailitas
Vichada,Puerto Carreño
Cesar,El Paso
Guaviare,Miraflores
Putumayo,Villagarzón
Valle del Cauca,Roldanillo
Casanare,Maní
Nariño,San Andrés de Tumaco
Risaralda,Balboa
Cauca,Santander de Quilichao
Antioquia,Amalfi
Caquetá,Florencia
Meta,Acacías
Tolima,Alvarado
Meta,Puerto López
Huila,Neiva
Arauca,Tame
Santander,Barrancabermeja
Atlántico,Puerto Colombia
Cundinamarca,Chía
Valle del Cauca,Riofrío
Meta,Villavicencio
Norte de Santander,Ocaña
Guainía,Barranco Minas
Magdalena,Ariguaní
Meta,Puerto Gaitán
Valle del Cauca,Yumbo
Casanare,Pore
Arauca,Fortul
Casanare,Monterrey
Cesar,Aguachica
Arauca,Cravo Norte
Vichada,Cumaribo
Valle del Cauca,Buenaventura
Tolima,Venadillo
Huila,Palermo
Cesar,Valledupar
Casanare,Trinidad
Santander,Cimitarra
Antioquia,Carolina
Vichada,Santa Rosalía
Arauca,Arauquita
